,0
526,SLC16A1
527,ST8SIA1
528,GNS
529,ACO1
530,PIPOX
531,MMAA
532,SLC25A21
533,DCT
534,CYP17A1
535,PIK3R2
536,SLC19A2
537,B3GNT3
538,SLC2A10
539,DUT
540,GUCY2D
541,ACSS1
542,NT5C
543,ACAD10
544,SLC27A5
545,ENO2
546,SLC12A3
547,ST6GALNAC3
548,SLC2A1
549,GPX2
550,HGD
551,A4GALT
552,NME4
553,GALE
554,PDE2A
555,ADCY2
556,LIPG
557,H6PD
558,SLC26A3
559,MCCC2
560,DLD
561,GCNT1
562,AOC1
563,ALDOC
564,CHST13
565,LCAT
566,PIGU
567,EXT1
568,FBP2
569,AICDA
570,HIBADH
571,SLC4A5
572,SLC6A7
573,PIK3CB
574,UST
575,SLC35D2
576,XYLT1
577,HAGH
578,SLC7A10
579,ACSM1
580,ALG8
581,ANPEP
582,CYP51A1
583,SETDB1
584,TCIRG1
585,SLC1A6
586,SLC32A1
587,HSD17B8
588,SLC12A7
589,HSD3B7
590,RRM1
591,CDS2
592,PTGS1
593,ATP1B1
594,SLC1A7
595,ALDH6A1
596,ATP4B
597,NDUFB4
598,GALC
599,GFPT2
600,ST6GAL1
601,COX6B2
602,IREB2
603,CRLS1
604,PLA2G7
605,SORD
606,CPS1
607,CD38
608,ENTPD2
609,GCNT4
610,GALK1
611,HS3ST4
612,DLAT
613,XYLT2
614,CHST7
615,NDUFAB1
616,SULT2A1
617,SOD1
618,ADCY4
619,ATP1A2
620,AGPAT5
621,SUCLG2
622,NAGK
623,HMOX1
624,B4GALT2
625,ATP6V1D
626,SETDB2
627,CHST3
628,ARSA
629,ALDH7A1
630,HS3ST2
631,PIK3CD
632,PGAM2
633,PTGES
634,CYP24A1
635,SGMS1
636,EBP
637,UCK2
638,SLC28A2
639,TYMP
640,NUDT2
641,ST3GAL1
642,SLC13A2
643,SLC25A22
644,PDE6G
645,IDH2
646,SLC25A19
647,SLC8A3
648,PGK1
649,ALDH9A1
650,SLC9A3
651,SLC8A2
652,GGPS1
653,PGM3
654,CYC1
655,ACADS
656,MTMR3
657,B3GAT2
658,INPP5B
659,SLC4A3
660,ADH7
661,FUCA1
662,NANS
663,DGKZ
664,DHCR24
665,ARG1
666,HAO1
667,PSPH
668,ALAS1
669,ME1
670,MGAT4A
671,CYP2A13
672,FADS1
673,NDUFB6
674,SLC38A5
675,AGXT2
676,ESD
677,NDUFS8
678,RDH10
679,CYP27A1
680,LIPF
681,ALG2
682,LTA4H
683,PANK1
684,AMPD3
685,PGM2
686,PDE6H
687,ATP6V1C2
688,KMT2C
689,SLCO3A1
690,SQLE
691,TYR
692,SLC9A1
693,FDPS
694,SLC25A13
695,ENO1
696,ACP2
