,0
548,Slc18a2
549,Engase
550,Slc16a7
551,Adcy8
552,Ucp1
553,Lipc
554,Slc17a4
555,Pde6b
556,B4galt5
557,Ireb2
558,Pnliprp2
559,Slc19a3
560,Uqcrq
561,Mpst
562,Azin2
563,Acsl4
564,Ckm
565,Mgst2
566,Slc20a2
567,Gal3st1
568,Slc14a1
569,St3gal5
570,Aldh1a1
571,Cox4i1
572,Ogdh
573,Car9
574,Pde8a
575,Mcee
576,Csgalnact2
577,Slc24a2
578,Th
579,Shmt1
580,Crat
581,Gatm
582,Rhag
583,Slc5a2
584,Etfb
585,Pgam1
586,Fut8
587,Gys1
588,Slc22a1
589,Rpn2
590,Adcy6
591,B3gnt3
592,Slc27a2
593,Hsd17b3
594,Dpm1
595,Chat
596,Dct
597,Dpys
598,Rhbg
599,Hadhb
600,St3gal6
601,Ugdh
602,Ache
603,Slco2a1
604,Papss1
605,Adsl
606,Slc5a1
607,Pdhx
608,Itpkb
609,Cox6a2
610,Slc4a4
611,Inpp5b
612,Gmpr2
613,Slc25a10
614,Ckmt2
615,Dhcr7
616,Gmds
617,Nt5c2
618,Cyp7b1
619,Rpe
620,Mcat
621,Cd38
622,Agmat
623,Aldh1a2
624,Ndufs6
625,Hs3st2
626,Ndufb7
627,Galnt3
628,Cyp17a1
629,Hexa
630,Dpysl3
631,Entpd3
632,Sms
633,Gstm2
634,Slc25a15
635,Pigb
636,Pfkfb3
637,Slc4a10
638,Manba
639,Pik3c2b
640,Slc5a11
641,Pde7a
642,Pik3c2a
643,Aldoc
644,Man2a1
645,Pip5k1c
646,Ddost
647,Upb1
648,Gapdh
649,Ndst3
650,Hsd3b7
651,Gsr
652,Slc37a4
653,Aldh1a3
654,Piga
655,Slc25a21
656,Lrat
657,Extl2
658,Oxct1
659,Hs3st3b1
660,Nudt5
661,Slc22a5
662,Ust
663,Slc19a2
664,Pde6g
665,Slc1a7
666,Alox12b
667,Mgat4a
668,Ndufa2
669,Plce1
670,Galnt1
