,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2
MIF_ACKR3,MIF_ACKR3,MIF,MIF,ACKR3,,,,,PMID: 26175090,Secreted Signaling,MIF - ACKR3
CX3CL1_CX3CR1,CX3CL1_CX3CR1,CX3C,CX3CL1,CX3CR1,,,,,KEGG: hsa04060,Secreted Signaling,CX3CL1 - CX3CR1
XCL1_XCR1,XCL1_XCR1,XCR,XCL1,XCR1,,,,,KEGG: hsa04060,Secreted Signaling,XCL1 - XCR1
XCL2_XCR1,XCL2_XCR1,XCR,XCL2,XCR1,,,,,KEGG: hsa04060,Secreted Signaling,XCL2 - XCR1
IL2_IL2RA_IL2RB_IL2RG,IL2_IL2RA_IL2RB_IL2RG,IL2,IL2,IL2RA_IL2RB_IL2RG,,,,,KEGG: hsa04060,Secreted Signaling,IL2 - (IL2RA+IL2RB+IL2RG)
IL2_IL2RB_IL2RG,IL2_IL2RB_IL2RG,IL2,IL2,IL2RB_IL2RG,,,,,KEGG: hsa04060,Secreted Signaling,IL2 - (IL2RB+IL2RG)
IL4_IL4R_IL2RG,IL4_IL4R_IL2RG,IL2,IL4,IL4R_IL2RG,,,,,KEGG: hsa04060,Secreted Signaling,IL4 - (IL4R+IL2RG)
IL7_IL7R_IL2RG,IL7_IL7R_IL2RG,IL2,IL7,IL7R_IL2RG,,,,,KEGG: hsa04060,Secreted Signaling,IL7 - (IL7R+IL2RG)
IL9_IL9R_IL2RG,IL9_IL9R_IL2RG,IL2,IL9,IL9R_IL2RG,,,,,KEGG: hsa04060,Secreted Signaling,IL9 - (IL9R+IL2RG)
IL15_IL15RA_IL2RB,IL15_IL15RA_IL2RB,IL2,IL15,IL15RA_IL2RB,,,,,KEGG: hsa04060,Secreted Signaling,IL15 - (IL15RA+IL2RB)
IL21_IL21R_IL2RG,IL21_IL21R_IL2RG,IL2,IL21,IL21R_IL2RG,,,,,KEGG: hsa04060,Secreted Signaling,IL21 - (IL21R+IL2RG)
TSLP_IL7R_CRLF2,TSLP_IL7R_CRLF2,IL2,TSLP,IL7R_CRLF2,,,,,KEGG: hsa04060,Secreted Signaling,TSLP - (IL7R+CRLF2)
IL3_IL3RA_CSF2RB,IL3_IL3RA_CSF2RB,IL4,IL3,IL3RA_CSF2RB,,,,,KEGG: hsa04060,Secreted Signaling,IL3 - (IL3RA+CSF2RB)
IL5_IL5RA_CSF2RB,IL5_IL5RA_CSF2RB,IL4,IL5,IL5RA_CSF2RB,,,,,KEGG: hsa04060,Secreted Signaling,IL5 - (IL5RA+CSF2RB)
CSF2_CSF2RA_CSF2RB,CSF2_CSF2RA_CSF2RB,IL4,CSF2,CSF2RA_CSF2RB,,,,,KEGG: hsa04060,Secreted Signaling,CSF2 - (CSF2RA+CSF2RB)
IL4_IL4R,IL4_IL4R,IL4,IL4,IL4R,,,,,KEGG: hsa04060,Secreted Signaling,IL4 - IL4R
IL4_IL4R_IL13RA1,IL4_IL4R_IL13RA1,IL4,IL4,IL4R_IL13RA1,,,,,KEGG: hsa04060,Secreted Signaling,IL4 - (IL4R+IL13RA1)
IL4_IL4R_IL13RA2,IL4_IL4R_IL13RA2,IL4,IL4,IL4R_IL13RA2,,,,,KEGG: hsa04060,Secreted Signaling,IL4 - (IL4R+IL13RA2)
IL13_IL4R_IL13RA1,IL13_IL4R_IL13RA1,IL4,IL13,IL4R_IL13RA1,,,,,KEGG: hsa04060,Secreted Signaling,IL13 - (IL4R+IL13RA1)
IL13_IL4R_IL13RA2,IL13_IL4R_IL13RA2,IL4,IL13,IL4R_IL13RA2,,,,,KEGG: hsa04060,Secreted Signaling,IL13 - (IL4R+IL13RA2)
IL13_IL13RA1,IL13_IL13RA1,IL4,IL13,IL13RA1,,,,,KEGG: hsa04060,Secreted Signaling,IL13 - IL13RA1
IL13_IL13RA2,IL13_IL13RA2,IL4,IL13,IL13RA2,,,,,KEGG: hsa04060,Secreted Signaling,IL13 - IL13RA2
IL6_IL6R_IL6ST,IL6_IL6R_IL6ST,IL6,IL6,IL6R_IL6ST,,,,,KEGG: hsa04060,Secreted Signaling,IL6 - (IL6R+IL6ST)
IL11_IL11RA_IL6ST,IL11_IL11RA_IL6ST,IL6,IL11,IL11R complex,,,,,KEGG: hsa04060,Secreted Signaling,IL11 - (IL11RA+IL6ST)
IL12B_IL12RB1_IL12RB2,IL12B_IL12RB1_IL12RB2,IL12,IL12AB,IL12RB1_IL12RB2,,,,,PMID: 26918147,Secreted Signaling,IL12B - (IL12RB1+IL12RB2)
IL23A_IL23R_IL12RB1,IL23A_IL23R_IL12RB1,IL12,IL23 complex,IL23R_IL12RB1,,,,,PMID: 11114383,Secreted Signaling,IL23A - (IL23R+IL12RB1)
EBI3_IL27RA_IL6ST,EBI3_IL27RA_IL6ST,IL12,IL27 complex,IL27RA_IL6ST,,,,,PMID: 25861977,Secreted Signaling,EBI3 - (IL27RA+IL6ST)
IL31_IL31RA_OSMR,IL31_IL31RA_OSMR,IL6,IL31,IL31RA_OSMR,,,,,KEGG: hsa04060,Secreted Signaling,IL31 - (IL31RA+OSMR)
CNTF_CNTFR_LIFR,CNTF_CNTFR_LIFR,LIFR,CNTF,CNTFR_LIFR,,,,,KEGG: hsa04060,Secreted Signaling,CNTF - (CNTFR+LIFR)
CLCF1_CNTFR_LIFR,CLCF1_CNTFR_LIFR,LIFR,CLCF1,CNTFR_LIFR,,,,,KEGG: hsa04060,Secreted Signaling,CLCF1 - (CNTFR+LIFR)
CTF1_LIFR_IL6ST,CTF1_LIFR_IL6ST,LIFR,CTF1,LIFR_IL6ST,,,,,KEGG: hsa04060,Secreted Signaling,CTF1 - (LIFR+IL6ST)
LIF_LIFR_IL6ST,LIF_LIFR_IL6ST,LIFR,LIF,LIFR_IL6ST,,,,,KEGG: hsa04060,Secreted Signaling,LIF - (LIFR+IL6ST)
OSM_LIFR_IL6ST,OSM_LIFR_IL6ST,OSM,OSM,LIFR_IL6ST,,,,,KEGG: hsa04060,Secreted Signaling,OSM - (LIFR+IL6ST)
OSM_OSMR_IL6ST,OSM_OSMR_IL6ST,OSM,OSM,OSMR_IL6ST,,,,,KEGG: hsa04060,Secreted Signaling,OSM - (OSMR+IL6ST)
IL10_IL10RA_IL10RB,IL10_IL10RA_IL10RB,IL10,IL10,IL10RA_IL10RB,,,,,KEGG: hsa04060,Secreted Signaling,IL10 - (IL10RA+IL10RB)
IL19_IL20RA_IL20RB,IL19_IL20RA_IL20RB,IL10,IL19,IL20RA_IL20RB,,,,,KEGG: hsa04060,Secreted Signaling,IL19 - (IL20RA+IL20RB)
IL20_IL20RA_IL20RB,IL20_IL20RA_IL20RB,IL10,IL20,IL20RA_IL20RB,,,,,KEGG: hsa04060,Secreted Signaling,IL20 - (IL20RA+IL20RB)
IL24_IL20RA_IL20RB,IL24_IL20RA_IL20RB,IL10,IL24,IL20RA_IL20RB,,,,,KEGG: hsa04060,Secreted Signaling,IL24 - (IL20RA+IL20RB)
IL20_IL22RA1_IL20RB,IL20_IL22RA1_IL20RB,IL10,IL20,IL22RA1_IL20RB,,,,,KEGG: hsa04060,Secreted Signaling,IL20 - (IL22RA1+IL20RB)
IL24_IL22RA1_IL20RB,IL24_IL22RA1_IL20RB,IL10,IL24,IL22RA1_IL20RB,,,,,KEGG: hsa04060,Secreted Signaling,IL24 - (IL22RA1+IL20RB)
IL22_IL22RA1_IL10RB,IL22_IL22RA1_IL10RB,IL10,IL22,IL22RA1_IL10RB,,,,,KEGG: hsa04060,Secreted Signaling,IL22 - (IL22RA1+IL10RB)
IL26_IL20RA_IL10RB,IL26_IL20RA_IL10RB,IL10,IL26,IL20RA_IL10RB,,,,,KEGG: hsa04060,Secreted Signaling,IL26 - (IL20RA+IL10RB)
IL1A_IL1R1_IL1RAP,IL1A_IL1R1_IL1RAP,IL1,IL1A,IL1R1_IL1RAP,,IL antagonist,,,KEGG: hsa04060,Secreted Signaling,IL1A - (IL1R1+IL1RAP)
IL1B_IL1R1_IL1RAP,IL1B_IL1R1_IL1RAP,IL1,IL1B,IL1R1_IL1RAP,,IL antagonist,,,KEGG: hsa04060,Secreted Signaling,IL1B - (IL1R1+IL1RAP)
IL1A_IL1R2,IL1A_IL1R2,IL1,IL1A,IL1R2,,,,,KEGG: hsa04060,Secreted Signaling,IL1A - IL1R2
IL1B_IL1R2,IL1B_IL1R2,IL1,IL1B,IL1R2,,,,,KEGG: hsa04060,Secreted Signaling,IL1B - IL1R2
IL1F5_IL1RL2_IL1RAP,IL1F5_IL1RL2_IL1RAP,IL1,IL36RN,IL1RL2_IL1RAP,,,,,KEGG: hsa04060,Secreted Signaling,IL1F5 - (IL1RL2+IL1RAP)
IL1F6_IL1RL2_IL1RAP,IL1F6_IL1RL2_IL1RAP,IL1,IL36A,IL1RL2_IL1RAP,,,,,KEGG: hsa04060,Secreted Signaling,IL1F6 - (IL1RL2+IL1RAP)
IL1F8_IL1RL2_IL1RAP,IL1F8_IL1RL2_IL1RAP,IL1,IL36B,IL1RL2_IL1RAP,,,,,KEGG: hsa04060,Secreted Signaling,IL1F8 - (IL1RL2+IL1RAP)
IL1F9_IL1RL2_IL1RAP,IL1F9_IL1RL2_IL1RAP,IL1,IL36G,IL1RL2_IL1RAP,,,,,KEGG: hsa04060,Secreted Signaling,IL1F9 - (IL1RL2+IL1RAP)
IL1F10_IL1RL2_IL1RAP,IL1F10_IL1RL2_IL1RAP,IL1,IL1F10,IL1RL2_IL1RAP,,,,,KEGG: hsa04060,Secreted Signaling,IL1F10 - (IL1RL2+IL1RAP)
IL37_IL18R1_IL18RAP,IL37_IL18R1_IL18RAP,IL1,IL37,IL18R1_IL18RAP,,,,,KEGG: hsa04060,Secreted Signaling,IL37 - (IL18R1+IL18RAP)
IL18_IL18R1_IL18RAP,IL18_IL18R1_IL18RAP,IL1,IL18,IL18R1_IL18RAP,,,,,KEGG: hsa04060,Secreted Signaling,IL18 - (IL18R1+IL18RAP)
IL33_IL1RL1_IL1RAP,IL33_IL1RL1_IL1RAP,IL1,IL33,IL1RL1_IL1RAP,,,,,KEGG: hsa04060,Secreted Signaling,IL33 - (IL1RL1+IL1RAP)
IL17A_IL17RA_IL17RC,IL17A_IL17RA_IL17RC,IL17,IL17A,IL17RA_IL17RC,,,,,KEGG: hsa04060,Secreted Signaling,IL17A - (IL17RA+IL17RC)
IL17F_IL17RA_IL17RC,IL17F_IL17RA_IL17RC,IL17,IL17F,IL17RA_IL17RC,,,,,KEGG: hsa04060,Secreted Signaling,IL17F - (IL17RA+IL17RC)
IL17AF_IL17RA_IL17RC,IL17AF_IL17RA_IL17RC,IL17,IL17AF,IL17RA_IL17RC,,,,,PMID: 24813051,Secreted Signaling,IL17AF - (IL17RA+IL17RC)
IL17B_IL17RB,IL17B_IL17RB,IL17,IL17B,IL17RB,,,,,KEGG: hsa04060,Secreted Signaling,IL17B - IL17RB
IL17C_IL17RA_IL17RE,IL17C_IL17RA_IL17RE,IL17,IL17C,IL17RA_IL17RE,,,,,KEGG: hsa04060,Secreted Signaling,IL17C - (IL17RA+IL17RE)
IL25_IL17RA_IL17RB,IL25_IL17RA_IL17RB,IL17,IL25,IL17RA_IL17RB,,,,,KEGG: hsa04060,Secreted Signaling,IL25 - (IL17RA+IL17RB)
IL34_CSF1R,IL34_CSF1R,CSF,IL34,CSF1R,,,,,KEGG: hsa04060,Secreted Signaling,IL34 - CSF1R
CSF1_CSF1R,CSF1_CSF1R,CSF,CSF1,CSF1R,,,,,KEGG: hsa04060,Secreted Signaling,CSF1 - CSF1R
IL16_CD4,IL16_CD4,IL16,IL16,CD4,,,,,KEGG: hsa04060,Secreted Signaling,IL16 - CD4
EPO_EPOR,EPO_EPOR,EPO,EPO,EPOR,,,,,KEGG: hsa04060,Secreted Signaling,EPO - EPOR
GH1_GHR,GH1_GHR,GH,GH1,GHR,,,,,KEGG: hsa04060,Secreted Signaling,GH1 - GHR
PRL_PRLR,PRL_PRLR,PRL,PRL,PRLR,,,,,KEGG: hsa04060; PMID: 23192981,Secreted Signaling,PRL - PRLR
THPO_MPL,THPO_MPL,THPO,THPO,MPL,,,,,KEGG: hsa04060,Secreted Signaling,THPO - MPL
CSF3_CSF3R,CSF3_CSF3R,CSF3,CSF3,CSF3R,,,,,KEGG: hsa04060,Secreted Signaling,CSF3 - CSF3R
IFNB1_IFNAR1_IFNAR2,IFNB1_IFNAR1_IFNAR2,IFN-I,IFNB1,IFNAR1_IFNAR2,,,,,KEGG: hsa04060,Secreted Signaling,IFNB1 - (IFNAR1+IFNAR2)
IFNW1_IFNAR1_IFNAR2,IFNW1_IFNAR1_IFNAR2,IFN-I,IFNW1,IFNAR1_IFNAR2,,,,,KEGG: hsa04060,Secreted Signaling,IFNW1 - (IFNAR1+IFNAR2)
IFNK_IFNAR1_IFNAR2,IFNK_IFNAR1_IFNAR2,IFN-I,IFNK,IFNAR1_IFNAR2,,,,,KEGG: hsa04060,Secreted Signaling,IFNK - (IFNAR1+IFNAR2)
IFNE_IFNAR1_IFNAR2,IFNE_IFNAR1_IFNAR2,IFN-I,IFNE,IFNAR1_IFNAR2,,,,,KEGG: hsa04060,Secreted Signaling,IFNE - (IFNAR1+IFNAR2)
IFNA1_IFNAR1_IFNAR2,IFNA1_IFNAR1_IFNAR2,IFN-I,IFNA1,IFNAR1_IFNAR2,,,,,KEGG: hsa04060,Secreted Signaling,IFNA1 - (IFNAR1+IFNAR2)
IFNA2_IFNAR1_IFNAR2,IFNA2_IFNAR1_IFNAR2,IFN-I,IFNA2,IFNAR1_IFNAR2,,,,,KEGG: hsa04060,Secreted Signaling,IFNA2 - (IFNAR1+IFNAR2)
IFNA4_IFNAR1_IFNAR2,IFNA4_IFNAR1_IFNAR2,IFN-I,IFNA4,IFNAR1_IFNAR2,,,,,KEGG: hsa04060,Secreted Signaling,IFNA4 - (IFNAR1+IFNAR2)
IFNA5_IFNAR1_IFNAR2,IFNA5_IFNAR1_IFNAR2,IFN-I,IFNA5,IFNAR1_IFNAR2,,,,,KEGG: hsa04060,Secreted Signaling,IFNA5 - (IFNAR1+IFNAR2)
IFNA6_IFNAR1_IFNAR2,IFNA6_IFNAR1_IFNAR2,IFN-I,IFNA6,IFNAR1_IFNAR2,,,,,KEGG: hsa04060,Secreted Signaling,IFNA6 - (IFNAR1+IFNAR2)
IFNA7_IFNAR1_IFNAR2,IFNA7_IFNAR1_IFNAR2,IFN-I,IFNA7,IFNAR1_IFNAR2,,,,,KEGG: hsa04060,Secreted Signaling,IFNA7 - (IFNAR1+IFNAR2)
IFNA8_IFNAR1_IFNAR2,IFNA8_IFNAR1_IFNAR2,IFN-I,IFNA8,IFNAR1_IFNAR2,,,,,KEGG: hsa04060,Secreted Signaling,IFNA8 - (IFNAR1+IFNAR2)
IFNA9_IFNAR1_IFNAR2,IFNA9_IFNAR1_IFNAR2,IFN-I,IFNA10,IFNAR1_IFNAR2,,,,,KEGG: hsa04060,Secreted Signaling,IFNA9 - (IFNAR1+IFNAR2)
IFNA10_IFNAR1_IFNAR2,IFNA10_IFNAR1_IFNAR2,IFN-I,IFNA13,IFNAR1_IFNAR2,,,,,KEGG: hsa04060,Secreted Signaling,IFNA10 - (IFNAR1+IFNAR2)
IFNA14_IFNAR1_IFNAR2,IFNA14_IFNAR1_IFNAR2,IFN-I,IFNA14,IFNAR1_IFNAR2,,,,,KEGG: hsa04060,Secreted Signaling,IFNA14 - (IFNAR1+IFNAR2)
IFNA16_IFNAR1_IFNAR2,IFNA16_IFNAR1_IFNAR2,IFN-I,IFNA16,IFNAR1_IFNAR2,,,,,KEGG: hsa04060,Secreted Signaling,IFNA16 - (IFNAR1+IFNAR2)
IFNA17_IFNAR1_IFNAR2,IFNA17_IFNAR1_IFNAR2,IFN-I,IFNA17,IFNAR1_IFNAR2,,,,,KEGG: hsa04060,Secreted Signaling,IFNA17 - (IFNAR1+IFNAR2)
IFNA21_IFNAR1_IFNAR2,IFNA21_IFNAR1_IFNAR2,IFN-I,IFNA21,IFNAR1_IFNAR2,,,,,KEGG: hsa04060,Secreted Signaling,IFNA21 - (IFNAR1+IFNAR2)
IFNG_IFNGR1_IFNGR2,IFNG_IFNGR1_IFNGR2,IFN-II,IFNG,IFNGR1_IFNGR2,,,,,KEGG: hsa04060,Secreted Signaling,IFNG - (IFNGR1+IFNGR2)
TNF_TNFRSF1A,TNF_TNFRSF1A,TNF,TNF,TNFRSF1A,,,,,KEGG: hsa04060,Secreted Signaling,TNF - TNFRSF1A
TNF_TNFRSF1B,TNF_TNFRSF1B,TNF,TNF,TNFRSF1B,,,,,KEGG: hsa04060,Secreted Signaling,TNF - TNFRSF1B
LTA_TNFRSF1A,LTA_TNFRSF1A,LT,LTA,TNFRSF1A,,,,,KEGG: hsa04060,Secreted Signaling,LTA - TNFRSF1A
LTA_TNFRSF1B,LTA_TNFRSF1B,LT,LTA,TNFRSF1B,,,,,KEGG: hsa04060,Secreted Signaling,LTA - TNFRSF1B
LTA_TNFRSF14,LTA_TNFRSF14,LT,LTA,TNFRSF14,,,,,KEGG: hsa04060,Secreted Signaling,LTA - TNFRSF14
LTA_LTB_LTBR,LTA_LTB_LTBR,LT,LTa1b2,LTBR,,,,,PMID: 24248355,Secreted Signaling,LTA - (LTB+LTBR)
TNFSF14_LTBR,TNFSF14_LTBR,LIGHT,TNFSF14,LTBR,,,,,KEGG: hsa04060,Secreted Signaling,TNFSF14 - LTBR
TNFSF14_TNFRSF14,TNFSF14_TNFRSF14,LIGHT,TNFSF14,TNFRSF14,,,,,KEGG: hsa04060,Secreted Signaling,TNFSF14 - TNFRSF14
FASL_FAS,FASL_FAS,FASLG,FASLG,FAS,,,,,KEGG: hsa04060,Secreted Signaling,FASL - FAS
TNFSF15_TNFRSF25,TNFSF15_TNFRSF25,VEGI,TNFSF15,TNFRSF25,,,,,KEGG: hsa04060,Secreted Signaling,TNFSF15 - TNFRSF25
TNFSF10_TNFRSF10B,TNFSF10_TNFRSF10B,TRAIL,TNFSF10,TNFRSF10A,,,,,KEGG: hsa04060,Secreted Signaling,TNFSF10 - TNFRSF10B
EDA_EDAR,EDA_EDAR,EDA,EDA,EDAR,,,,,KEGG: hsa04060,Secreted Signaling,EDA - EDAR
EDA_EDA2R,EDA_EDA2R,EDA,EDA,EDA2R,,,,,KEGG: hsa04060,Secreted Signaling,EDA - EDA2R
NGF_NGFR,NGF_NGFR,NGF,NGF,NGFR,,,,,KEGG: hsa04060,Secreted Signaling,NGF - NGFR
KLK3_NGFR,KLK3_NGFR,NGF,KLK3,NGFR,,,,,KEGG: hsa04060,Secreted Signaling,KLK3 - NGFR
TNFSF11_TNFRSF11A,TNFSF11_TNFRSF11A,RANKL,TNFSF11,TNFRSF11A,,,,,KEGG: hsa04060,Secreted Signaling,TNFSF11 - TNFRSF11A
TNFSF11_TNFRSF11B,TNFSF11_TNFRSF11B,RANKL,TNFSF11,TNFRSF11B,,,,,KEGG: hsa04060,Secreted Signaling,TNFSF11 - TNFRSF11B
TNFSF12_TNFRSF12A,TNFSF12_TNFRSF12A,TWEAK,TNFSF12,TNFRSF12A,,,,,KEGG: hsa04060,Secreted Signaling,TNFSF12 - TNFRSF12A
CD70_CD27,CD70_CD27,CD70,CD70,CD27,,,,,KEGG: hsa04060,Secreted Signaling,CD70 - CD27
TNFSF8_TNFRSF8,TNFSF8_TNFRSF8,CD30,TNFSF8,TNFRSF8,,,,,KEGG: hsa04060,Secreted Signaling,TNFSF8 - TNFRSF8
TNFSF9_TNFRSF9,TNFSF9_TNFRSF9,CD137,TNFSF9,TNFRSF9,,,,,KEGG: hsa04060,Secreted Signaling,TNFSF9 - TNFRSF9
TNFSF4_TNFRSF4,TNFSF4_TNFRSF4,OX40,TNFSF4,TNFRSF4,,,,,KEGG: hsa04060,Secreted Signaling,TNFSF4 - TNFRSF4
TNFSF18_TNFRSF18,TNFSF18_TNFRSF18,GITRL,TNFSF18,TNFRSF18,,,,,KEGG: hsa04060,Secreted Signaling,TNFSF18 - TNFRSF18
TNFSF13_TNFRSF17,TNFSF13_TNFRSF17,APRIL,TNFSF13,TNFRSF17,,,,,KEGG: hsa04060,Secreted Signaling,TNFSF13 - TNFRSF17
TNFSF13_TNFRSF13B,TNFSF13_TNFRSF13B,APRIL,TNFSF13,TNFRSF13B,,,,,KEGG: hsa04060,Secreted Signaling,TNFSF13 - TNFRSF13B
TNFSF13B_TNFRSF17,TNFSF13B_TNFRSF17,BAFF,TNFSF13B,TNFRSF17,,,,,KEGG: hsa04060,Secreted Signaling,TNFSF13B - TNFRSF17
TNFSF13B_TNFRSF13B,TNFSF13B_TNFRSF13B,BAFF,TNFSF13B,TNFRSF13B,,,,,KEGG: hsa04060,Secreted Signaling,TNFSF13B - TNFRSF13B
TNFSF13B_TNFRSF13C,TNFSF13B_TNFRSF13C,BAFF,TNFSF13B,TNFRSF13C,,,,,KEGG: hsa04060,Secreted Signaling,TNFSF13B - TNFRSF13C
CD40LG_ITGA2B_ITGB3,CD40LG_ITGA2B_ITGB3,CD40,CD40LG,ITGA2B_ITGB3,,,,,PMID: 28676852,Secreted Signaling,CD40LG - (ITGA2B+ITGB3)
CD40LG_ITGA5_ITGB1,CD40LG_ITGA5_ITGB1,CD40,CD40LG,ITGA5_ITGB1,,,,,PMID: 28676852,Secreted Signaling,CD40LG - (ITGA5+ITGB1)
CD40LG_ITGAM_ITGB2,CD40LG_ITGAM_ITGB2,CD40,CD40LG,ITGAM_ITGB2,,,,,PMID: 28676852,Secreted Signaling,CD40LG - (ITGAM+ITGB2)
SPP1_CD44,SPP1_CD44,SPP1,SPP1,CD44,,,,,PMID: 21907263,Secreted Signaling,SPP1 - CD44
SPP1_ITGAV_ITGB3,SPP1_ITGAV_ITGB3,SPP1,SPP1,ITGAV_ITGB3,,,,,PMID: 21907263,Secreted Signaling,SPP1 - (ITGAV+ITGB3)
SPP1_ITGAV_ITGB1,SPP1_ITGAV_ITGB1,SPP1,SPP1,ITGAV_ITGB1,,,,,PMID: 21907263,Secreted Signaling,SPP1 - (ITGAV+ITGB1)
SPP1_ITGAV_ITGB5,SPP1_ITGAV_ITGB5,SPP1,SPP1,ITGAV_ITGB5,,,,,PMID: 21907263,Secreted Signaling,SPP1 - (ITGAV+ITGB5)
SPP1_ITGAV_ITGB6,SPP1_ITGAV_ITGB6,SPP1,SPP1,ITGAV_ITGB6,,,,,PMID: 21907263,Secreted Signaling,SPP1 - (ITGAV+ITGB6)
SPP1_ITGA4_ITGB1,SPP1_ITGA4_ITGB1,SPP1,SPP1,ITGA4_ITGB1,,,,,PMID: 21907263,Secreted Signaling,SPP1 - (ITGA4+ITGB1)
SPP1_ITGA9_ITGB1,SPP1_ITGA9_ITGB1,SPP1,SPP1,ITGA9_ITGB1,,,,,PMID: 21907263,Secreted Signaling,SPP1 - (ITGA9+ITGB1)
SPP1_ITGA8_ITGB1,SPP1_ITGA8_ITGB1,SPP1,SPP1,ITGA8_ITGB1,,,,,PMID: 21907263,Secreted Signaling,SPP1 - (ITGA8+ITGB1)
SPP1_ITGA5_ITGB1,SPP1_ITGA5_ITGB1,SPP1,SPP1,ITGA5_ITGB1,,,,,PMID: 21907263,Secreted Signaling,SPP1 - (ITGA5+ITGB1)
ADIPOQ_ADIPOR1,ADIPOQ_ADIPOR1,ADIPONECTIN,ADIPOQ,ADIPOR1,,,,,PMID: 21284979,Secreted Signaling,ADIPOQ - ADIPOR1
ADIPOQ_ADIPOR2,ADIPOQ_ADIPOR2,ADIPONECTIN,ADIPOQ,ADIPOR2,,,,,PMID: 21284979,Secreted Signaling,ADIPOQ - ADIPOR2
RETN_TLR4,RETN_TLR4,RESISTIN,RETN,TLR4,,,,,PMID: 30809105,Secreted Signaling,RETN - TLR4
RETN_CAP1,RETN_CAP1,RESISTIN,RETN,CAP1,,,,,PMID: 30809105,Secreted Signaling,RETN - CAP1
NAMPT_INSR,NAMPT_INSR,VISFATIN,NAMPT,INSR,,,,,PMID: 28490838,Secreted Signaling,NAMPT - INSR
NAMPT_ITGA5_ITGB1,NAMPT_ITGA5_ITGB1,VISFATIN,NAMPT,ITGA5_ITGB1,,,,,PMID: 28490838,Secreted Signaling,NAMPT - (ITGA5+ITGB1)
ANGPTL1_ITGA1_ITGB1,ANGPTL1_ITGA1_ITGB1,ANGPTL,ANGPTL1,ITGA1_ITGB1,,,,,PMID: 24478758,Secreted Signaling,ANGPTL1 - (ITGA1+ITGB1)
ANGPTL2_ITGA5_ITGB1,ANGPTL2_ITGA5_ITGB1,ANGPTL,ANGPTL2,ITGA5_ITGB1,,,,,PMID: 24478758,Secreted Signaling,ANGPTL2 - (ITGA5+ITGB1)
ANGPTL2_TLR4,ANGPTL2_TLR4,ANGPTL,ANGPTL2,TLR4,,,,,PMID: 24478758,Secreted Signaling,ANGPTL2 - TLR4
ANGPTL2_PIRB,ANGPTL2_PIRB,ANGPTL,ANGPTL2,LILRB3,,,,,PMID: 24478758,Secreted Signaling,ANGPTL2 - PIRB
ANGPTL1_PIRB,ANGPTL1_PIRB,ANGPTL,ANGPTL1,LILRB3,,,,,PMID: 24478758,Secreted Signaling,ANGPTL1 - PIRB
ANGPTL7_PIRB,ANGPTL7_PIRB,ANGPTL,ANGPTL7,LILRB3,,,,,PMID: 24478758,Secreted Signaling,ANGPTL7 - PIRB
ANGPTL4_ITGA5_ITGB1,ANGPTL4_ITGA5_ITGB1,ANGPTL,ANGPTL4,ITGA5_ITGB1,,,,,PMID: 30049845,Secreted Signaling,ANGPTL4 - (ITGA5+ITGB1)
ANGPTL4_ITGAV_ITGB3,ANGPTL4_ITGAV_ITGB3,ANGPTL,ANGPTL4,ITGAV_ITGB3,,,,,PMID: 30049845,Secreted Signaling,ANGPTL4 - (ITGAV+ITGB3)
ANGPTL4_CDH5,ANGPTL4_CDH5,ANGPTL,ANGPTL4,CDH5,,,,,PMID: 30049845,Secreted Signaling,ANGPTL4 - CDH5
ANGPTL4_CDH11,ANGPTL4_CDH11,ANGPTL,ANGPTL4,CDH11,,,,,PMID: 30049845,Secreted Signaling,ANGPTL4 - CDH11
ANGPTL4_SDC1,ANGPTL4_SDC1,ANGPTL,ANGPTL4,SDC1,,,,,PMID: 29017031,Secreted Signaling,ANGPTL4 - SDC1
ANGPTL4_SDC2,ANGPTL4_SDC2,ANGPTL,ANGPTL4,SDC2,,,,,PMID: 29017031,Secreted Signaling,ANGPTL4 - SDC2
ANGPTL4_SDC3,ANGPTL4_SDC3,ANGPTL,ANGPTL4,SDC3,,,,,PMID: 29017031,Secreted Signaling,ANGPTL4 - SDC3
ANGPTL4_SDC4,ANGPTL4_SDC4,ANGPTL,ANGPTL4,SDC4,,,,,PMID: 29017031,Secreted Signaling,ANGPTL4 - SDC4
ANGPTL3_ITGAV_ITGB3,ANGPTL3_ITGAV_ITGB3,ANGPTL,ANGPTL3,ITGAV_ITGB3,,,,,PMID: 11877390,Secreted Signaling,ANGPTL3 - (ITGAV+ITGB3)
ANGPT1_TEK,ANGPT1_TEK,ANGPT,ANGPT1,TEK,,,,ANGPT inhibition receptor 1,PMID: 20651738,Secreted Signaling,ANGPT1 - TEK
ANGPT2_TEK,ANGPT2_TEK,ANGPT,ANGPT2,TEK,,,,ANGPT inhibition receptor 1,PMID: 20651738,Secreted Signaling,ANGPT2 - TEK
ANGPT2_ITGA5_ITGB1,ANGPT2_ITGA5_ITGB1,ANGPT,ANGPT2,ITGA5_ITGB1,,,,ANGPT inhibition receptor 2,PMID: 20651738; PMID: 25635707,Secreted Signaling,ANGPT2 - (ITGA5+ITGB1)
MDK_SDC1,MDK_SDC1,MK,MDK,SDC1,,,,,PMID: 28356350,Secreted Signaling,MDK - SDC1
