,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2
GDF6_BMPR1B_ACVR2A,GDF6_BMPR1B_ACVR2A,BMP,GDF6,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6 - (BMPR1B+ACVR2A)
GDF6_BMPR1B_ACVR2B,GDF6_BMPR1B_ACVR2B,BMP,GDF6,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6 - (BMPR1B+ACVR2B)
GDF6_BMPR1B_BMPR2,GDF6_BMPR1B_BMPR2,BMP,GDF6,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6 - (BMPR1B+BMPR2)
GDF7_BMPR1A_ACVR2A,GDF7_BMPR1A_ACVR2A,BMP,GDF7,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7 - (BMPR1A+ACVR2A)
GDF7_BMPR1A_ACVR2B,GDF7_BMPR1A_ACVR2B,BMP,GDF7,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7 - (BMPR1A+ACVR2B)
GDF7_BMPR1A_BMPR2,GDF7_BMPR1A_BMPR2,BMP,GDF7,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7 - (BMPR1A+BMPR2)
GDF7_BMPR1B_ACVR2A,GDF7_BMPR1B_ACVR2A,BMP,GDF7,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7 - (BMPR1B+ACVR2A)
GDF7_BMPR1B_ACVR2B,GDF7_BMPR1B_ACVR2B,BMP,GDF7,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7 - (BMPR1B+ACVR2B)
GDF7_BMPR1B_BMPR2,GDF7_BMPR1B_BMPR2,BMP,GDF7,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF7 - (BMPR1B+BMPR2)
BMP15_BMPR1B_BMPR2,BMP15_BMPR1B_BMPR2,BMP,BMP15,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP15 - (BMPR1B+BMPR2)
BMP5_ACVR1_ACVR2A,BMP5_ACVR1_ACVR2A,BMP,BMP5,ACVR1_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (ACVR1+ACVR2A)
BMP5_ACVR1_ACVR2B,BMP5_ACVR1_ACVR2B,BMP,BMP5,ACVR1_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (ACVR1+ACVR2B)
BMP5_ACVR1_BMPR2,BMP5_ACVR1_BMPR2,BMP,BMP5,ACVR1_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (ACVR1+BMPR2)
BMP5_BMPR1A_ACVR2A,BMP5_BMPR1A_ACVR2A,BMP,BMP5,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (BMPR1A+ACVR2A)
BMP5_BMPR1A_ACVR2B,BMP5_BMPR1A_ACVR2B,BMP,BMP5,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (BMPR1A+ACVR2B)
BMP5_BMPR1A_BMPR2,BMP5_BMPR1A_BMPR2,BMP,BMP5,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (BMPR1A+BMPR2)
BMP5_BMPR1B_ACVR2A,BMP5_BMPR1B_ACVR2A,BMP,BMP5,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (BMPR1B+ACVR2A)
BMP5_BMPR1B_ACVR2B,BMP5_BMPR1B_ACVR2B,BMP,BMP5,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (BMPR1B+ACVR2B)
BMP5_BMPR1B_BMPR2,BMP5_BMPR1B_BMPR2,BMP,BMP5,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP5 - (BMPR1B+BMPR2)
BMP6_ACVR1_ACVR2A,BMP6_ACVR1_ACVR2A,BMP,BMP6,ACVR1_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP6 - (ACVR1+ACVR2A)
BMP6_ACVR1_ACVR2B,BMP6_ACVR1_ACVR2B,BMP,BMP6,ACVR1_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP6 - (ACVR1+ACVR2B)
BMP6_ACVR1_BMPR2,BMP6_ACVR1_BMPR2,BMP,BMP6,ACVR1_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP6 - (ACVR1+BMPR2)
BMP6_BMPR1A_ACVR2A,BMP6_BMPR1A_ACVR2A,BMP,BMP6,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP6 - (BMPR1A+ACVR2A)
BMP6_BMPR1A_ACVR2B,BMP6_BMPR1A_ACVR2B,BMP,BMP6,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP6 - (BMPR1A+ACVR2B)
BMP6_BMPR1A_BMPR2,BMP6_BMPR1A_BMPR2,BMP,BMP6,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP6 - (BMPR1A+BMPR2)
BMP6_BMPR1B_ACVR2A,BMP6_BMPR1B_ACVR2A,BMP,BMP6,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP6 - (BMPR1B+ACVR2A)
BMP6_BMPR1B_ACVR2B,BMP6_BMPR1B_ACVR2B,BMP,BMP6,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP6 - (BMPR1B+ACVR2B)
BMP6_BMPR1B_BMPR2,BMP6_BMPR1B_BMPR2,BMP,BMP6,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP6 - (BMPR1B+BMPR2)
BMP7_ACVR1_ACVR2A,BMP7_ACVR1_ACVR2A,BMP,BMP7,ACVR1_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP7 - (ACVR1+ACVR2A)
BMP7_ACVR1_ACVR2B,BMP7_ACVR1_ACVR2B,BMP,BMP7,ACVR1_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP7 - (ACVR1+ACVR2B)
BMP7_ACVR1_BMPR2,BMP7_ACVR1_BMPR2,BMP,BMP7,ACVR1_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP7 - (ACVR1+BMPR2)
BMP7_BMPR1A_ACVR2A,BMP7_BMPR1A_ACVR2A,BMP,BMP7,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP7 - (BMPR1A+ACVR2A)
BMP7_BMPR1A_ACVR2B,BMP7_BMPR1A_ACVR2B,BMP,BMP7,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP7 - (BMPR1A+ACVR2B)
BMP7_BMPR1A_BMPR2,BMP7_BMPR1A_BMPR2,BMP,BMP7,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP7 - (BMPR1A+BMPR2)
BMP7_BMPR1B_ACVR2A,BMP7_BMPR1B_ACVR2A,BMP,BMP7,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP7 - (BMPR1B+ACVR2A)
BMP7_BMPR1B_ACVR2B,BMP7_BMPR1B_ACVR2B,BMP,BMP7,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP7 - (BMPR1B+ACVR2B)
BMP7_BMPR1B_BMPR2,BMP7_BMPR1B_BMPR2,BMP,BMP7,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP7 - (BMPR1B+BMPR2)
BMP8A_ACVR1_ACVR2A,BMP8A_ACVR1_ACVR2A,BMP,BMP8A,ACVR1_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8A - (ACVR1+ACVR2A)
BMP8A_ACVR1_ACVR2B,BMP8A_ACVR1_ACVR2B,BMP,BMP8A,ACVR1_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8A - (ACVR1+ACVR2B)
BMP8A_ACVR1_BMPR2,BMP8A_ACVR1_BMPR2,BMP,BMP8A,ACVR1_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8A - (ACVR1+BMPR2)
BMP8A_BMPR1A_ACVR2A,BMP8A_BMPR1A_ACVR2A,BMP,BMP8A,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8A - (BMPR1A+ACVR2A)
BMP8A_BMPR1A_ACVR2B,BMP8A_BMPR1A_ACVR2B,BMP,BMP8A,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8A - (BMPR1A+ACVR2B)
BMP8A_BMPR1A_BMPR2,BMP8A_BMPR1A_BMPR2,BMP,BMP8A,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8A - (BMPR1A+BMPR2)
BMP8A_BMPR1B_ACVR2A,BMP8A_BMPR1B_ACVR2A,BMP,BMP8A,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8A - (BMPR1B+ACVR2A)
BMP8A_BMPR1B_ACVR2B,BMP8A_BMPR1B_ACVR2B,BMP,BMP8A,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8A - (BMPR1B+ACVR2B)
BMP8A_BMPR1B_BMPR2,BMP8A_BMPR1B_BMPR2,BMP,BMP8A,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8A - (BMPR1B+BMPR2)
BMP8B_ACVR1_ACVR2A,BMP8B_ACVR1_ACVR2A,BMP,BMP8B,ACVR1_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8B - (ACVR1+ACVR2A)
BMP8B_ACVR1_ACVR2B,BMP8B_ACVR1_ACVR2B,BMP,BMP8B,ACVR1_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8B - (ACVR1+ACVR2B)
BMP8B_ACVR1_BMPR2,BMP8B_ACVR1_BMPR2,BMP,BMP8B,ACVR1_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP8B - (ACVR1+BMPR2)
